Chromosome,MSE
000000000000000,inf
000000000000001,4.277018925547599
000000000000010,2.1837690442800524
000000000000011,5.0257555603981015
000000000000100,5.131888061761856
000000000000101,3.5733335286378862
000000000000110,5.833325666189194
000000000000111,2.2231840431690215
000000000001000,4.3215002596378325
000000000001001,4.832584784924984
000000000001010,3.732089099287987
000000000001011,2.3243243038654327
000000000001100,2.254347801208496
000000000001101,2.315811258554459
000000000001110,2.322850224375725
000000000001111,2.2186888724565508
000000000010000,5.680421471595764
000000000010001,2.1770434826612473
000000000010010,3.891318017244339
000000000010011,2.2416666820645332
000000000010100,2.1867017567157747
000000000010101,2.3087548106908797
000000000010110,2.1836646467447283
000000000010111,2.245253250002861
000000000011000,3.869898584485054
000000000011001,2.2187278866767883
000000000011010,2.265943545103073
000000000011011,2.3121531337499617
000000000011100,2.2549357235431673
000000000011101,2.294565236568451
000000000011110,2.277576115727425
000000000011111,2.312712049484253
000000000100000,2.7624351784586905
000000000100001,3.7878829300403596
000000000100010,2.7580646559596063
000000000100011,2.290075397491455
000000000100100,3.7140864461660383
000000000100101,2.2264782428741454
000000000100110,2.2615272045135497
000000000100111,2.258011019229889
000000000101000,4.579586949944496
000000000101001,2.307050722837448
000000000101010,2.2096105039119722
000000000101011,2.403197947144508
000000000101100,2.259389366209507
000000000101101,2.2961348235607146
000000000101110,2.36402820199728
000000000101111,2.274705693125725
000000000110000,4.379941645264625
000000000110001,2.2071260303258895
000000000110010,2.2737523347139357
000000000110011,2.292113888263702
000000000110100,2.2660605281591417
000000000110101,2.311700791120529
000000000110110,2.325989854335785
000000000110111,2.2720833659172057
000000000111000,2.252609279751778
000000000111001,2.2509861826896667
000000000111010,2.317027896642685
000000000111011,2.429577374458313
000000000111100,2.3019048795104027
000000000111101,2.3219514012336733
000000000111110,2.292038303613663
000000000111111,2.3257784456014634
000000001000000,3.864205026626587
000000001000001,4.30928481221199
000000001000010,5.222707843780517
000000001000011,2.206406870484352
000000001000100,3.649458569288254
000000001000101,2.2463662058115004
000000001000110,2.210703906416893
000000001000111,2.196580320596695
000000001001000,2.9230856031179426
000000001001001,2.262209016084671
000000001001010,2.2219722762703897
000000001001011,2.2494142234325407
000000001001100,2.2801489740610124
000000001001101,2.311741867661476
000000001001110,2.220636394619942
000000001001111,2.339277285337448
000000001010000,2.9150271743535994
000000001010001,2.188771189749241
000000001010010,2.2091403871774675
000000001010011,2.218400153517723
000000001010100,2.203046703338623
000000001010101,2.257587048411369
000000001010110,2.255759966373444
000000001010111,2.1672721222043037
000000001011000,2.233911579847336
000000001011001,2.3839930266141893
000000001011010,2.221104362607002
000000001011011,2.312860244512558
000000001011100,2.2384242311120035
000000001011101,2.2779905542731287
000000001011110,2.3773830950260164
000000001011111,2.2776994854211807
000000001100000,3.4743298172950743
000000001100001,2.202347508072853
000000001100010,2.2468996405601502
000000001100011,2.2309842675924303
000000001100100,2.1944193601608277
000000001100101,2.206018254160881
000000001100110,2.269625389575958
000000001100111,2.19905067384243
000000001101000,2.229399600625038
000000001101001,2.2737312868237494
000000001101010,2.2624827295541765
000000001101011,2.2885394364595415
000000001101100,2.2244454860687255
000000001101101,2.172489991784096
000000001101110,2.233524513244629
000000001101111,2.272647899389267
000000001110000,2.1712536185979845
000000001110001,2.1761457920074463
000000001110010,2.239677420258522
000000001110011,2.207558864355087
000000001110100,2.290396511554718
000000001110101,2.2172444969415666
000000001110110,2.204620009660721
000000001110111,2.265208846330643
000000001111000,2.202470654249191
000000001111001,2.326472282409668
000000001111010,2.3662392884492873
000000001111011,2.4107296049594877
000000001111100,2.231975409388542
000000001111101,2.3382496267557142
000000001111110,2.4798779428005218
000000001111111,2.331065076589584
000000010000000,3.9149735659360885
000000010000001,3.4285048961639406
000000010000010,4.812711426615715
000000010000011,2.268471157550812
000000010000100,3.569018003344536
000000010000101,2.2635586500167846
000000010000110,2.247516429424286
000000010000111,2.2310433804988863
000000010001000,2.929928347468376
000000010001001,2.305138123035431
000000010001010,2.2485732555389406
000000010001011,2.333278176188469
000000010001100,2.2826738208532333
000000010001101,2.351326289772987
000000010001110,2.3691742777824403
000000010001111,2.2817404359579085
000000010010000,2.5845618516206743
000000010010001,2.3147093623876573
000000010010010,2.2619659811258317
000000010010011,2.2868220269680024
000000010010100,2.257241341471672
000000010010101,2.3593285739421845
000000010010110,2.240717646479607
000000010010111,2.28312072455883
000000010011000,2.2206509500741958
000000010011001,2.182017821073532
000000010011010,2.3062926650047304
000000010011011,2.343905782699585
000000010011100,2.395523962378502
000000010011101,2.2693892493844032
000000010011110,2.3403280824422836
000000010011111,2.3325094282627106
000000010100000,3.0580581694841387
000000010100001,2.2246157854795454
000000010100010,2.1948678225278853
000000010100011,2.3355008512735367
000000010100100,2.241703122854233
000000010100101,2.336186036467552
000000010100110,2.318772606551647
000000010100111,2.2805636897683144
000000010101000,2.231044736504555
000000010101001,2.2943457424640656
000000010101010,2.288767957687378
000000010101011,2.3751906245946883
000000010101100,2.314622808992863
000000010101101,2.394025373458862
000000010101110,2.302051344513893
000000010101111,2.397552502155304
000000010110000,2.2345321625471115
000000010110001,2.2703332006931305
000000010110010,2.3393021404743193
000000010110011,2.3784813821315764
000000010110100,2.345888376235962
000000010110101,2.3554922163486482
000000010110110,2.3355001330375673
000000010110111,2.3977762013673782
000000010111000,2.223522198200226
000000010111001,2.3333867371082304
000000010111010,2.312308147549629
000000010111011,2.4630054861307142
000000010111100,2.3678373783826827
000000010111101,2.360754904150963
000000010111110,2.4072736620903017
000000010111111,2.3925395369529725
000000011000000,4.270009836554527
000000011000001,2.1720672339200973
000000011000010,2.1737494975328446
000000011000011,2.1948697179555894
000000011000100,2.194732576608658
000000011000101,2.241035045683384
000000011000110,2.2669926553964617
000000011000111,2.2531705886125564
000000011001000,2.1747063755989076
000000011001001,2.2972280621528625
000000011001010,2.2152496755123137
000000011001011,2.3395515382289886
000000011001100,2.309859538078308
000000011001101,2.296258047223091
000000011001110,2.284500631690025
000000011001111,2.2610702246427534
000000011010000,2.1831256583333016
000000011010001,2.248251836001873
000000011010010,2.2831339955329897
000000011010011,2.1876827031373978
000000011010100,2.169422748684883
000000011010101,2.2672424882650377
000000011010110,2.2314993768930433
000000011010111,2.283930334448814
000000011011000,2.275748500227928
000000011011001,2.2908757656812666
000000011011010,2.4525769323110582
000000011011011,2.3248438209295275
000000011011100,2.397873839735985
000000011011101,2.328115800023079
000000011011110,2.3523588225245478
000000011011111,2.3761492550373076
000000011100000,2.1740586549043655
000000011100001,2.212151136994362
000000011100010,2.197864955663681
000000011100011,2.1914609879255296
000000011100100,2.1835727006196977
000000011100101,2.2530834823846817
000000011100110,2.1844412326812743
000000011100111,2.240211319923401
000000011101000,2.157366597652435
000000011101001,2.326553279161453
000000011101010,2.295083522796631
000000011101011,2.414813110232353
000000011101100,2.223587891459465
000000011101101,2.3963751077651976
000000011101110,2.382477468252182
000000011101111,2.315905874967575
000000011110000,2.2064647674560547
000000011110001,2.303385096788406
000000011110010,2.36491074860096
000000011110011,2.3171159654855726
000000011110100,2.105441915988922
000000011110101,2.230690649151802
000000011110110,2.330168092250824
000000011110111,2.329949493706226
000000011111000,2.234907880425453
000000011111001,2.3590870916843416
000000011111010,2.3209250241518022
000000011111011,2.3941367745399473
000000011111100,2.3503047287464143
000000011111101,2.3872687458992004
000000011111110,2.3864417672157288
000000011111111,2.374792915582657
000000100000000,4.349538305401802
000000100000001,3.5811363011598587
000000100000010,2.901263490319252
000000100000011,2.2407038420438767
000000100000100,2.6551342219114304
000000100000101,2.262769249081612
000000100000110,2.2134567469358446
000000100000111,2.263727957010269
000000100001000,2.6564880162477493
000000100001001,2.3704137325286867
000000100001010,2.24160298705101
000000100001011,2.365417978167534
000000100001100,2.2718697518110273
000000100001101,2.307473686337471
000000100001110,2.2591293305158615
000000100001111,2.365340459346771
000000100010000,3.473059892654419
000000100010001,2.269718345999718
000000100010010,2.208063045144081
000000100010011,2.37309273481369
000000100010100,2.242832013964653
000000100010101,2.3376037180423737
000000100010110,2.2374431401491166
000000100010111,2.2994647204875944
000000100011000,2.230505934357643
000000100011001,2.2945732712745666
000000100011010,2.33450448513031
000000100011011,2.3689065098762514
000000100011100,2.281176766753197
000000100011101,2.3610083639621733
000000100011110,2.406620314717293
000000100011111,2.3267155647277833
000000100100000,2.196407896280289
000000100100001,2.2276581376791
000000100100010,2.204006364941597
000000100100011,2.2622218161821364
000000100100100,2.2860665172338486
000000100100101,2.34062140583992
000000100100110,2.2465938895940782
000000100100111,2.3247559666633606
000000100101000,2.215444377064705
000000100101001,2.397998833656311
000000100101010,2.2912027448415757
000000100101011,2.3456630945205688
000000100101100,2.2408815294504167
000000100101101,2.3572582960128785
000000100101110,2.3797286242246627
000000100101111,2.2794685661792755
000000100110000,2.2608820468187334
000000100110001,2.3606625020504
000000100110010,2.2555874407291414
000000100110011,2.4073113203048706
000000100110100,2.3327659517526627
000000100110101,2.329667407274246
000000100110110,2.413318446278572
000000100110111,2.2931614369153976
000000100111000,2.2665742337703705
000000100111001,2.3929964661598206
000000100111010,2.3797835528850557
000000100111011,2.3672400057315826
000000100111100,2.4018427431583405
000000100111101,2.3538815438747407
000000100111110,2.3629586353898047
000000100111111,2.470538479089737
000000101000000,5.060512143373489
000000101000001,2.10584537088871
000000101000010,2.233879658579826
000000101000011,2.2609300762414932
000000101000100,2.1891177505254746
000000101000101,2.211644411087036
000000101000110,2.1944010108709335
000000101000111,2.15466478317976
000000101001000,2.209131672978401
000000101001001,2.286070869863033
000000101001010,2.322327235341072
000000101001011,2.308659291267395
000000101001100,2.282727685570717
000000101001101,2.3267252832651137
000000101001110,2.3571168377995493
000000101001111,2.3060696750879286
000000101010000,2.2059654399752615
000000101010001,2.25551598072052
000000101010010,2.2145082145929336
000000101010011,2.329187187552452
000000101010100,2.1516813397407533
000000101010101,2.286057358980179
000000101010110,2.248718459904194
000000101010111,2.2931577384471895
000000101011000,2.217581498622894
000000101011001,2.3491238325834276
000000101011010,2.323266166448593
000000101011011,2.3103575617074967
000000101011100,2.296545159816742
000000101011101,2.3753129661083223
000000101011110,2.3752659261226654
000000101011111,2.540850293636322
000000101100000,2.1755897790193557
000000101100001,2.191434809565544
000000101100010,2.1809097319841384
000000101100011,2.136313426494598
000000101100100,2.243088352680206
000000101100101,2.2390641421079636
000000101100110,2.2271521925926208
000000101100111,2.3061780452728273
000000101101000,2.1495779722929003
000000101101001,2.2879656881093977
000000101101010,2.325428757071495
000000101101011,2.3982539251446724
000000101101100,2.3048059403896333
000000101101101,2.3269593894481657
000000101101110,2.3321918159723283
000000101101111,2.348891645669937
000000101110000,2.182653695344925
000000101110001,2.223927488923073
000000101110010,2.2441598027944565
000000101110011,2.300382152199745
000000101110100,2.240473622083664
000000101110101,2.3183063372969626
000000101110110,2.2829903930425646
000000101110111,2.306993383169174
000000101111000,2.256621265411377
000000101111001,2.3439806699752808
000000101111010,2.3930716693401335
000000101111011,2.4115988582372667
000000101111100,2.3457790106534957
000000101111101,2.3296726822853087
000000101111110,2.3004714846611023
000000101111111,2.338537874817848
000000110000000,2.1553818613290785
000000110000001,2.1710390001535416
000000110000010,2.2170611768960953
000000110000011,2.264600855112076
000000110000100,2.203216144442558
000000110000101,2.2908167451620103
000000110000110,2.195782321691513
000000110000111,2.2446987479925156
000000110001000,2.210268568992615
000000110001001,2.234268981218338
000000110001010,2.2748650789260862
000000110001011,2.339877513051033
000000110001100,2.200021821260452
000000110001101,2.304097118973732
000000110001110,2.3434711411595344
000000110001111,2.3610579878091813
000000110010000,2.1818246811628343
000000110010001,2.251923656463623
000000110010010,2.2320812195539474
000000110010011,2.2774783462285995
000000110010100,2.2842999756336213
000000110010101,2.2899398773908617
000000110010110,2.2978041529655457
000000110010111,2.246537470817566
000000110011000,2.2390314757823946
000000110011001,2.2989751905202866
000000110011010,2.309790760278702
000000110011011,2.28793326318264
000000110011100,2.3940633282065393
000000110011101,2.3435079395771026
000000110011110,2.3563563406467436
000000110011111,2.2599224746227264
000000110100000,2.1877257496118547
000000110100001,2.262582927942276
000000110100010,2.2341980040073395
000000110100011,2.22402046918869
000000110100100,2.2299152582883837
000000110100101,2.273839810490608
000000110100110,2.303217703104019
000000110100111,2.299873837828636
000000110101000,2.2629876852035524
000000110101001,2.331719860434532
000000110101010,2.3326915353536606
000000110101011,2.382329285144806
000000110101100,2.3189397633075712
000000110101101,2.457341639697552
000000110101110,2.415669301152229
000000110101111,2.3396984338760376
000000110110000,2.261811378598213
000000110110001,2.2976707339286806
000000110110010,2.3172892719507217
000000110110011,2.38998019695282
000000110110100,2.267999690771103
000000110110101,2.3853014767169953
000000110110110,2.3206217870116235
000000110110111,2.389306956529617
000000110111000,2.1883615791797637
000000110111001,2.297775200009346
000000110111010,2.291925299167633
000000110111011,2.385863593220711
000000110111100,2.3640947908163072
000000110111101,2.3453071236610414
000000110111110,2.392924779653549
000000110111111,2.387602162361145
000000111000000,2.082978866994381
000000111000001,2.1876648172736166
000000111000010,2.2139883428812026
000000111000011,2.197716960310936
000000111000100,2.2010039910674095
000000111000101,2.1969370201230047
000000111000110,2.181584858894348
000000111000111,2.208210763335228
000000111001000,2.1719422563910484
000000111001001,2.27125868499279
